siteID,q0.obs,q0.est,q0.se,q1.obs,q1.est,q1.se,q2.obs,q2.est,q2.se
P01_1_AWD,5,5.967741935483871,1.2884289930048345,2.7560965781726887,3.0268739520370307,0.5124983381884439,2.0231578947368427,2.0945945945945925,0.43618201013310515
P01_2_AWD,5,11.666666666666668,4.490523754693907,4.762203155904597,12.419493834892643,6.092035831835266,4.5,14.999999999999995,NA
P01_3_AWD,2,2,0.46056618647183817,1.5691925832141966,1.7284451068967288,0.43227561068771375,1.3846153846153844,1.4999999999999996,0.47272766915607395
P01_4_AWD,4,4,0.2167915551315505,2.774572197275836,2.8719867222572226,0.326258516908777,2.161152614727855,2.2197309417040265,0.3463171564843652
P02_1_MSD,4,4,0.40561527325243907,2.083330049738962,2.144066371220893,0.258152753515745,1.5829408686551543,1.6002155172413828,0.19695097452230892
P02_2_MSD,6,6.972222222222222,2.223219302301103,2.9718167118171186,3.2717077746604493,0.57942718891467615,2.0836012861736335,2.150170648464161,0.37971002180216057
P02_3_MSD,5,5,0.5285763117528111,3.4386321984108212,3.5937188354412117,0.3649556659671449,2.7494033412887835,2.855696202531646,0.447911132205158
P02_4_MSD,4,4,0.7132274808902214,3.454436655786227,3.8818980855513217,0.5095808281696325,3.1612903225806455,3.7916666666666594,0.6001217921717235
P03_1_CON,5,5,0.5148514917257851,3.157340016720028,3.291295714069634,0.3955995812930705,2.3928242870285192,2.4613899613899597,0.3680964656854839
P03_2_CON,11,13.977272727272727,3.1612527566017423,4.566197257099611,4.819941270754448,0.5343545200312915,3.204119161456418,3.258952129664531,0.3170964402707282
P03_3_CON,7,11.438356164383562,4.389676124638663,3.5158616566658933,3.7961641271919353,0.48424628630384065,2.8240593534711187,2.8974641675854445,0.2647064580461653
P03_4_CON,5,5.478260869565218,1.5342933289069867,3.7347777084515976,4.166267435185751,0.684546698167603,3.0935672514619883,3.418918918918911,0.704163771955499
P04_1_MSD,5,5,0.7304146895338762,2.477896624793696,2.567485409568961,0.3494070101308266,1.7839444995044602,1.8079673135852898,0.25053573754233627
P04_2_MSD,4,6.75,2.1061998044920145,2.309401076758503,3.077177385347375,1.097935139099454,1.7142857142857142,1.8333333333333328,0.7647908813930908
P04_3_MSD,5,5,0.5224247315662977,2.993895655709594,3.091223271193095,0.31108010080811005,2.2384378211716345,2.281914893617026,0.29930558361253223
P04_4_MSD,4,4.472222222222222,1.3288028623589518,2.8289611131475527,3.1596923466786873,0.7896294954991374,2.28169014084507,2.467741935483868,0.744972249194474
P05_1_AWD,3,3.975609756097561,0.5093377518591833,1.2569909686986167,1.3155272308257953,0.13303699957516696,1.1037426132632961,1.1066126855600538,0.07717990995573647
P05_2_AWD,4,4.485294117647059,1.2009568620598647,2.5795167080886525,2.7343486822710985,0.46628711821783814,2.197718631178707,2.280487804878048,0.3458409463120705
P05_3_AWD,3,3.4166666666666665,1.376026043051513,2.7494592739972052,3.502420948868214,1.4181311128852157,2.5714285714285716,3.7499999999999987,1.7771489745188713
P05_4_AWD,5,5,0.6693147864991058,2.7253599793253596,2.840664161652602,0.35463138946505796,1.9809596344249807,2.020602218700471,0.2993170614636868
P06_1_CON,4,4,0.19313370410393582,3.178734017872371,3.292824836212937,0.3175519031988523,2.8057971014492757,2.9287925696594423,0.36045812430028307
P06_2_CON,10,10.495901639344263,1.6321297087723499,5.886873987903199,6.137219494057656,0.5096871250257596,4.445639187574672,4.575945443273413,0.478931767141735
P06_3_CON,8,10.967032967032967,2.5783634977979752,4.28017752672826,4.549873516204682,0.44671275646619013,3.3841438496117693,3.4762308998302185,0.34834166558436963
P06_4_CON,4,4,0.3970040723286937,3.117142110535454,3.28508322123592,0.3664981359733033,2.6470588235294117,2.80645161290323,0.45238575623638116
P07_1_MSD,2,2,0.21904291355759026,1.305236777831472,1.3225686357632058,0.1458887860175429,1.1611030478955007,1.165919282511214,0.10427220438490667
P07_2_MSD,7,14.68,5.815277003399118,3.5153313686478422,4.653176501218209,1.6090969026759276,2.2893772893772892,2.4193548387096815,0.7843709090687495
P07_3_MSD,6,8.953846153846154,1.6796045867252478,3.3184274831006295,3.557391423592059,0.33238560148756685,2.7704918032786887,2.849315068493148,0.2791742346642383
P07_4_MSD,4,4,0.4495981685452848,2.9905390452851854,3.132110369386862,0.3646012189049144,2.502164502164502,2.621495327102804,0.4044610297252322
P08_1_CON,4,4,0.24491112221337252,2.6944824080282963,2.766163368804726,0.2908163299116211,2.1316595223515002,2.1740787801778962,0.2796280246430131
P08_2_CON,11,11.164444444444445,1.9758819742412985,8.012006038507469,8.612790780157807,0.8042996700602468,6.672597864768682,7.22656250000001,0.7762657714269737
P08_3_CON,6,6,0.8775766321125913,2.8427870379900284,2.945177148520019,0.35122741516364725,1.9716088328075712,1.997840172786179,0.2525947244317104
P08_4_CON,5,5.96875,0.5818808647066903,3.3166942139575766,3.6302851397948483,0.369772723703751,2.7234042553191493,2.8837209302325597,0.43570554877522744
P09_1_AWD,3,3,0.41350902963756053,1.6003717761615053,1.6377387632079166,0.215735967497996,1.306172839506173,1.315120711562899,0.1451232829571072
P09_2_AWD,3,3.8,1.472356731038488,2.586409289858933,3.6988546507831566,1.6073853092958548,2.272727272727273,3.333333333333332,2.0675808502669417
P09_3_AWD,8,9.044642857142858,3.960136981850009,7.445101560185091,10.44385604182939,2.586180413960409,7.000000000000001,12.999999999999972,3.4208588482335274
P09_4_AWD,5,5.4941176470588236,1.2876149432748247,2.8103108789498474,2.8938223346322363,0.27159300016372334,2.225130890052356,2.2580645161290356,0.24765364161733097
P10_1_AWD,4,4,0.739220375523601,1.7744953561269163,1.8279418119546593,0.1988330183358569,1.3626168224299067,1.3720038350910821,0.11862459329827713
P10_2_AWD,4,4,0.5825547456486163,3.6917721827352565,4.179258151773624,0.5321066688132343,3.4489795918367343,4.333333333333329,0.7766067175725085
P10_3_AWD,7,12.727272727272727,4.3955321206130264,4.2039194517675895,5.625214506995475,1.6373388216745477,2.9156626506024095,3.2083333333333393,1.1224409412927192
P10_4_AWD,5,5,0.8158468387261749,3.607460742328557,3.9465041885575656,0.610450989767169,2.823529411764706,3.066666666666673,0.6847393621865859
P11_1_MSD,3,3.9782608695652173,0.631788711666418,1.2324225024908768,1.283482235296473,0.11036645245386,1.091847265221878,1.0940803382663877,0.0565605328614224
P11_2_MSD,3,3,0.6234864881325325,2.649351128562104,3.0455773106822503,0.5380291915124817,2.4615384615384617,3.1111111111111103,0.7032324563680672
P11_3_MSD,5,7.914285714285715,2.410816735570907,2.0774700101139896,2.330056350359988,0.432430357773249,1.5255292652552925,1.549479166666668,0.21842589554944516
P11_4_MSD,5,5.485714285714286,1.3104721774718466,2.622012688403204,2.8179171308005757,0.5422368665107183,1.870229007633588,1.9193548387096802,0.36995975446451346
P12_1_CON,4,4,0.2509107278028658,2.2197353222482157,2.2752555929965697,0.27849609677408915,1.6627565982404695,1.6807228915662686,0.21432924785769913
P12_2_CON,10,14.443750000000001,4.690314651462557,6.05890761488064,6.625157943081382,0.790788156216795,4.7690014903129665,5.007923930269407,0.5543923845627462
P12_3_CON,5,5,0.38486477685629605,3.1979707143453178,3.3338334929947666,0.4400802778334412,2.345215759849906,2.411417322834652,0.42078980695037854
P12_4_CON,5,5,0.7600029071287085,3.705060298111421,3.952858277688126,0.42100628595026635,3.174927113702624,3.4064516129032314,0.47486073064538936
P13_1_MSD,4,4,0.5255682478470901,1.9790282303598283,2.028510737547508,0.23054479488975282,1.521425999279798,1.533923303834807,0.1748975383469116
P13_2_MSD,3,3.8333333333333335,1.1378462830544513,2.381101577952299,3.2156193057341884,1.135568047993186,2,2.4999999999999987,1.3323135014442709
P13_3_MSD,5,5,0.58301057151427,2.7095791565193132,2.800848362772424,0.33060799395835155,1.9806576402321083,2.0119760479041893,0.29433737206949845
P13_4_MSD,4,4.962962962962963,0.7499515255935199,2.0595716568432927,2.249515221518675,0.3748005445799886,1.588235294117647,1.6249999999999982,0.2731354336253271
P14_1_AWD,3,3,0.36319074828642445,2.5284774782180004,2.7145489815923365,0.42761100866799134,2.2277227722772275,2.4418604651162803,0.5619173598340216
P14_2_AWD,6,6.235294117647059,2.3346095163415654,5.347858137368909,6.3484768422206965,1.0957123302896485,4.898305084745762,6.4761904761904665,1.2844665377093665
P14_3_AWD,4,5.777777777777778,2.2480194550444033,3.155224647081286,4.318168825296966,1.6948018715032436,2.6129032258064515,3.272727272727273,1.6487124879142663
P14_4_AWD,4,4,0.43839188371829774,2.8572615814738236,3.029896988391526,0.48009980894266946,2.2430769230769227,2.3557046979865794,0.5198703689844497
P15_1_CON,2,2,0.3942772444036626,1.5362171861003946,1.6016058321216264,0.321557684230972,1.352,1.39285714285714,0.31054399703451757
P15_2_CON,7,7.246951219512195,2.2415938404441245,2.967133431727661,3.092952511477305,0.42059469880793277,1.9753231492361931,1.9993979530403303,0.2605360381988181
P15_3_CON,5,5,0.5418577998252834,3.5451498869473395,3.752305497235385,0.4477767748291562,2.776876267748478,2.9210526315789402,0.45992542206927634
P15_4_CON,5,5,0.5475982781191467,3.772655575805013,3.9895818804895034,0.37606852100610405,3.266968325791855,3.480198019801985,0.42352077391841325
