siteID,q0.obs,q0.est,q0.se,q1.obs,q1.est,q1.se,q2.obs,q2.est,q2.se
Samp_1Rep_1AWDColeoptera,3,3.9565217391304346,0.7238566278177707,1.4271976835182498,1.547249189198017,0.2634413898459586,1.194130925507901,1.2047619047619018,0.178129837871961
Samp_1Rep_1AWDHeteroptera,1,1,0,1,1,0,1,Inf,NA
Samp_1Rep_1AWDOdonata,2,2,0,2,2.137258236121622,0.16303466371403544,2,2.3333333333333326,0.29510308007725744
Samp_1Rep_1CONColeoptera,3,3.485294117647059,1.413056334090545,1.4256086246469732,1.48872203348341,0.23658938449398764,1.1966873706004142,1.2038626609442071,0.1105436253480112
Samp_1Rep_1CONHeteroptera,1,1,0,1,1,0,1,1,0
Samp_1Rep_1CONOdonata,2,2,0,1.9796263300525183,2.054288734629268,0.10217083019064664,1.9600000000000002,2.116279069767438,0.1874378875001979
Samp_1Rep_1MSDColeoptera,1,1,0,1,1,0,1,1,0
Samp_1Rep_1MSDHeteroptera,1,1,0,1,1,0,1,1,0
Samp_1Rep_1MSDOdonata,2,2,0.3144660377352202,1.6984332340231805,1.8041315947632641,0.3158149564423237,1.5283018867924527,1.6363636363636362,0.36592992578081646
Samp_1Rep_2AWDColeoptera,2,2,0.2564323999762429,1.2152000180923734,1.2313358789045892,0.11987063625138361,1.102295081967213,1.1051212938005388,0.0756992980630998
Samp_1Rep_2AWDOdonata,2,2.5,0.714142842854285,2,3.3750000000017093,1.1307261678534317,2,Inf,NA
Samp_1Rep_2CONColeoptera,3,3.4782608695652173,1.1440687186074396,1.6003717761615053,1.705988624618606,0.3608774145970265,1.306172839506173,1.3246073298429286,0.2227401776736815
Samp_1Rep_2CONHeteroptera,1,1,0,1,1,0,1,1,0
Samp_1Rep_2CONOdonata,2,2,0.10000000000000002,1.7313031389918871,1.7745261687017027,0.20052487310806322,1.5693950177935945,1.6153846153846194,0.2570588027264838
Samp_1Rep_2MSDColeoptera,3,3.9782608695652173,0.5363340157519535,1.2324225024908768,1.283482235296473,0.14164480432379137,1.091847265221878,1.0940803382663877,0.08741206232294797
Samp_1Rep_2MSDHeteroptera,1,1,0,1,1,0,1,1,0
Samp_1Rep_2MSDOdonata,2,2,0.10000000000000002,1.9260702242522327,2.0202286098663595,0.18784270215489932,1.8615384615384616,2.037037037037039,0.28837810951436377
Samp_1Rep_3AWDColeoptera,2,2,0.32659863237109044,1.2109971146588063,1.2266916925061135,0.12056599262247299,1.0997506234413965,1.1024327784891141,0.07266588738321729
